Name,Total_Time,Artist,Album,Genre,Genre_2,Genre_3,Location
A Host for Ghosts,05:16.560,Midnight Odyssey,Firmament,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Midnight Odyssey/Firmament/04 A Host for Ghosts.m4a
A Midnight Odyssey,06:18.666,Midnight Odyssey,Funerals From the Astral Sphere,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Midnight Odyssey/Funerals From the Astral Sphere/11 A Midnight Odyssey.m4a
Acceptance (Aske),01:30.080,Blut Aus Nord,Memoria Vetusta II: Dialogue with the Stars,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Blut Aus Nord/Memoria Vetusta II_ Dialogue with the Stars/01 Acceptance (Aske).m4a
Access Granted,04:04.186,Emeralds,Does It Look Like I'm Here?,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Emeralds/Does It Look Like I'm Here_/12 Access Granted.m4a
Algir - Stien Klarnar,04:17.293,Wardruna,Runaljod - Gap Var Ginnunga,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Wardruna/Runaljod - Gap Var Ginnunga/10 Algir - Stien Klarnar.m4a
Algir - Tognatale,05:39.306,Wardruna,Runaljod - Gap Var Ginnunga,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Wardruna/Runaljod - Gap Var Ginnunga/11 Algir - Tognatale.m4a
Alone With You,03:02.373,Fallujah,The Flesh Prevails,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Fallujah/The Flesh Prevails/06 Alone With You.m4a
Alpha Centauri,22:08.226,Tangerine Dream,Alpha Centauri,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Tangerine Dream/Alpha Centauri/03 Alpha Centauri.m4a
Angbands Schmieden,03:30.066,Summoning,Dol Guldur,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Summoning/Dol Guldur/01 Angbands Schmieden.m4a
Appearance,01:52.333,Pagan's Mind,Enigmatic : Calling,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Pagan's Mind/Enigmatic _ Calling/09 Appearance.m4a
Ár Var Alda,02:19.320,Wardruna,Runaljod - Gap Var Ginnunga,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Wardruna/Runaljod - Gap Var Ginnunga/01 Ár Var Alda.m4a
Arcturus,09:15.880,M87,Noctilucent Threnody,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/M87/Noctilucent Threnody/04 Arcturus.m4a
Axioma,02:20.240,Enslaved,Axioma Ethica Odini,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Enslaved/Axioma Ethica Odini/05 Axioma.m4a
Beyond the Eighth Sphere,08:33.280,Midnight Odyssey,Firmament,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Midnight Odyssey/Firmament/09 Beyond the Eighth Sphere.m4a
Bjarkan,05:53.200,Wardruna,Runaljod - Gap Var Ginnunga,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Wardruna/Runaljod - Gap Var Ginnunga/03 Bjarkan.m4a
Blade Runner (End Titles),04:39.373,Vangelis,Blade Runner,Ambient,NA,NA,///Volumes/Benjamin's iTunes Library/iTunes Media/Music/Vangelis/Blade Runner/11 Blade Runner (End Titles).m4a
